ch,yue
陳詞濫調,can ci laam diu
陴,pei
陵,ling
陶,tou
陶,jiu
陷,haam
陷,ham
陷阱,haam zeng
陷阱,haam zing
陷阱,ham zeng
陷阱,ham zing
陸,luk
陹,sing
険,him
陻,jan
陼,zyu
陽,joeng
陽平聲,joeng ping sing
陾,jing
陿,haap
陿,hap
隀,cung
隁,jin
隂,jam
隃,jyu
隄,tai
隅,jyu
隆,lung
隆,naam
隆重,lung zung
隇,wai
隈,wui
隉,nip
隉,jit
隊,deoi
隊,zeoi
隊長,deoi zoeng
隋,ceoi
隋,do
隌,am
隍,wong
階,gaai
階地,gaai deng
階級鬥爭,gaai kap dau zang
随,ceoi
随堂测验,ceoi tong cak jim
随声附和,ceoi sing fu wo
随身听,ceoi san teng
隐,jan
隑,kei
隑,goi
隒,jim
隓,fai
隓,to
隔,gaak
隔,gik
隔篱二叔婆,gaak lei ji suk bo
隔篱二叔婆,gaak lei ji suk po
隔籬二叔婆,gaak lei ji suk bo
隔籬二叔婆,gaak lei ji suk po
隔行,gaak hong
隕,wan
隕,jyun
隖,wu
隗,kwai
隗,ngai
隗,wai
隘,aai
隘,ai
隘,ak
隙,kwik
隙,gwik
隙縫,gwik fung
隙縫,kwik fung
隙缝,gwik fung
隙缝,kwik fung
隚,tong
際,zai
障,zoeng
隝,dou
隞,ngou
隟,gwik
隟,kwik
隠,jan
隡,saat
隢,jiu
隣,leon
隤,teoi
隥,dang
隦,pei
隧,seoi
隧,zeoi
隨,ceoi
隨堂測驗,ceoi tong cak jim
隨聲附和,ceoi sing fu wo
隨身聽,ceoi san teng
隩,juk
隩,ou
險,him
險遭不測,him zou bat cak
隫,fan
隬,nei
隭,ji
隮,zai
隯,dou
隰,zaap
隱,jan
隲,zat
隳,fai
隳,fui
隴,lung
隵,hei
隶,dai
隶,doi
隶,lai
隷,dai
隸,dai
隸,lai
隸,doi
隹,zeoi
隺,hok
隻,zek
隻揪,zek cau
隻褦隻,zek naai zek
隼,zeon
隼,seon
隽,zeon
隽,syun
隽,cyun
隽永,syun wing
隽语,syun jyu
难,naan
难,no
难听,naan teng
难弹,naan taan
难挨,naan ngaai
难易,naan ji
难鲠,naan kang
隿,jik
雀,zoek
雀巢咖啡,zoek caau kaa fei
雁,ngaan
雁杳魚沈,ngaan miu jyu cam
雁杳鱼沈,ngaan miu jyu cam
雂,kam
雃,hin
雄,hung
雄赳赳,hung gau gau
雄長,hung zoeng
雄长,hung zoeng
雅,ngaa
雅,aa
雅乐,ngaa ngok
雅樂,ngaa ngok
雅玩,ngaa wun
雅魯藏布大峽谷,ngaa lou zong bou daai haap guk
雅魯藏布江,ngaa lou zong bou gong
雅鲁藏布大峡谷,ngaa lou zong bou daai haap guk
雅鲁藏布江,ngaa lou zong bou gong
集,zaap
集,zap
集体行走,zaap tai hang zau
集體行走,zaap tai hang zau
雇,gu
雈,wun
雉,zi
雊,gau
雋,zeon
雋,syun
雋,cyun
雋永,syun wing
雋語,syun jyu
雌,ci
雍,jung
雍重,jung zung
雎,zeoi
雏,co
雐,fu
雑,zaap
雒,lok
雓,jyu
雔,cau
雔,sau
雕,diu
雕,tiu
雕刻,diu haak
雕刻,diu hak
雕刻,tiu hak
雕刻品,diu hak ban
雕刻品,tiu hak ban
雕刻家,diu hak gaa
雕刻家,tiu hak gaa
雕塑,diu sok
雕塑,diu sou
雕梁画栋,diu loeng waak dung
雕梁畫棟,diu loeng waak dung
雕虫篆刻,diu cung syun hak
雕蟲篆刻,diu cung syun hak
雖,seoi
雗,hon
雘,wok
雙,soeng
雙眼檐,soeng ngaan sim
雙眼簷,soeng ngan jam
雙聲帶,soeng sing daai
雙行,soeng hong
雚,fun
雚,gun
雚,wun
雛,co
雜,zaap
雜差,zaap caai
雜罨嘢,zaap ngap je
雝,jung
雞,gai
雞哽頸,gai kang geng
雞啄唔斷,gai doek m tyun
雞啄唔斷,gai doeng m tyun
雞噉腳,gai daam goek
雞噉腳,gai gam goek
雞心領,gai sam leng
雞泡魚,gai pou jyu
雞渜,gai nan
雞皮疙瘩,gai pei ngat daap
雞脾,gai bei
雞膆,gai seoi
雟,kwai
雟,sai
雟,seoi
雠,cau
雠,sau
雡,lau
離,lei
離咁氣,le gam he
離啡,le fe
離晒氣,le saai he
離氣,le he
離氣,lei hei
離行離列,lei hong lei laat
離行離捺,lei hong lei naat
離行離罅,lei hong lei laa
離行離迾,lei hong lei laat
離行離迾,lei hong lei lit
難,naan
難,no
難彈,naan taan
難易,naan ji
難聽,naan teng
難鯁,naan kang
雤,hok
雥,zaap
雦,zaap
雧,zaap
雨,jyu
雨順風調,jyu seon fung tiu
雨顺风调,jyu seon fung tiu
雩,jyu
雪,syut
雪茄,syut gaa
雪葩,syut baa
雪里红,syut leoi hung
雪里蕻,syut leoi hung
雫,lo
雫,no
雬,fau
雭,saap
雮,muk
雯,man
雰,fan
雱,pong
雲,wan
雲呢嗱,wan nei laa
雲呢拿,wan nei laa
雲呢拿,wan nei naa
雲尼嗱,wan nei laa
雲尼拿,wan nei laa
雳,lik
雴,cap
雵,joeng
零,ling
零,lin
零蚊,leng man
雷,leoi
雸,ngam
雹,bok
雺,mung
電,din
電料行,din liu hong
電玩,din wun
電磁噪聲,din ci cou sing
電纜調制解調器,din laam tiu zai gaai diu hei
電話冇人聽,din waa mou jan teng
電話卡,din waa kaat
電話鈴聲,din waa ling sing
電鋸,din geoi
電鋸,din goe
雼,dong
雽,fu
雽,wu
雾,mou
雿,diu
雿,zaak
需,seoi
霁,zai
霁,cai
霂,muk
霃,muk
霃,cam
霄,siu
霅,sip
霅,zip
霅,saap
霅,zaap
霆,ting
震,zan
震忳忳,zan tan tan
震腾腾,zan tan tan
震腾腾,zan tang tang
震騰騰,zan tan tan
震騰騰,zan tang tang
霈,pui
霉,mui
霉,mei
霉浆菌肺炎,mei zoeng kwan fai jim
霉菌,mei kwan
霉菌,mui kwan
霉菌毒素,mui kwan duk sou
霊,ling
霋,cai
霌,zau
霍,fok
霎,saap
霏,fei
霐,wang
霑,zim
霒,jam
霓,ngai
霔,zyu
霕,tyun
霖,lam
霗,ling
霘,dung
霙,jing
霚,mou
霛,ling
霜,soeng
霝,ling
霞,haa
霟,hung
霠,jam
霡,mak
霡,maak
霢,mak
霢,maak
霣,wan
霤,lau
霥,mung
霦,ban
霧,mou
霨,wai
霩,kwok
霩,gwok
霪,jam
霫,zaap
霫,zap
霬,jik
霭,oi
霮,daam
霯,dang
霰,sin
霰弹,saan daan
霰彈,saan daan
霱,wat
露,lou
露,lau
霳,lung
霴,doi
霵,zap
霶,pong
霷,joeng
霸,baa
霸,paak
霹,pik
霺,mei
霻,fung
霼,hei
霽,zai
霽,cai
霾,maai
霾,lei
霾,mai
霿,mung
靀,mung
靁,leoi
靂,lik
靃,seoi
靃,fok
靄,oi
靅,fai
靆,doi
靇,ling
靇,lung
靈,ling
靈,leng
靈屋,leng uk
靈擎,leng keng
靈擎,ling keng
靈灰,leng fui
靈灰,ling fui
靈長,ling zoeng
靉,oi
靊,fung
靋,lik
靌,bou
靍,fok
靎,kam
靏,hok
靐,bang
靑,ceng
靑,cing
青,cing
青,ceng
青㿮,ceng ong
青丝,ceng si
青丝,cing si
青光眼,ceng gwong ngaan
青发,ceng faat
青口,ceng hau
青口,cing hau
青咇咇,ceng bi bi
青哔哔,ceng bi bi
青啤啤,ceng bi bi
青嗶嗶,ceng bi bi
青头仔,ceng tau zai
青头女,ceng tau neoi
青头潜鸭,ceng tau cim aap
青头鹦鹉,ceng tau jing mou
青提,ceng tai
青斑,ceng baan
青柠,ceng ning
青椒,ceng ziu
青檸,ceng ning
青瓜,ceng gwaa
青發,ceng faat
青白,ceng baak
青白江,cing baak gong
青竹蛇,ceng zuk se
青竹蛇,cing zuk se
青筋,ceng gan
青紫,ceng zi
青絲,ceng si
青絲,cing si
青綠,ceng luk
青绿,ceng luk
青肿,ceng zung
青脚滨鹬,ceng goek ban wat
青脚鹬,ceng goek wat
青腫,ceng zung
青腳濱鷸,ceng goek ban wat
青腳鷸,ceng goek wat
青色,ceng sik
青芥辣,ceng gaai laat
青花,ceng faa
青花瓷,cing faa ci
青苔,ceng toi
青苔,cing toi
青苗,ceng miu
青苗,cing miu
青苹果,ceng ping gwo
青茶,ceng caa
青莲,ceng lin
青菜,ceng coi
青萝卜,ceng lo baak
青蒜,ceng syun
青蓮,ceng lin
青藏,cing zong
青蘋果,ceng ping gwo
青蘿蔔,ceng lo baak
青蛙,ceng waa
青蛙,cing waa
青蟹,ceng haai
青豆,ceng dau
青豆,cing dau
青金石,cing gam sek
青銅,ceng tung
青銅,cing tung
青銅器,cing tung hei
青銅峽,cing tung haap
青铜,ceng tung
青铜,cing tung
青铜器,cing tung hei
青铜峡,cing tung haap
青霉素,cing mei sou
青霉素,cing mui sou
青靓,ceng leng
青靚,ceng leng
青靛,ceng din
青頭仔,ceng tau zai
青頭女,ceng tau neoi
青頭潛鴨,ceng tau cim aap
青頭鸚鵡,ceng tau jing mou
青麻,ceng maa
青龍,ceng lung
青龍,cing lung
青龍偃月刀,cing lung jin jyut dou
青龍滿族自治縣,cing lung mun zuk zi zi jyun
青龍縣,cing lung jyun
青龍頭,cing lung tau
青龙,ceng lung
青龙,cing lung
青龙偃月刀,cing lung jin jyut dou
青龙县,cing lung jyun
青龙头,cing lung tau
青龙满族自治县,cing lung mun zuk zi zi jyun
靓,leng
靓,zing
靓到抌一声,leng dou dam jat seng
靓到沊一声,leng dou dam jat seng
靔,tin
靕,zan
靖,zing
靗,cang
靘,cing
静,zing
静局,zeng guk
静局,zing guk
靚,leng
靚,zing
靚到抌一聲,leng dou dam jat seng
靚到沊一聲,leng dou dam jat seng
靛,din
靛青,din ceng
靛青,din cing
靜,zing
靜局,zeng guk
靜局,zing guk
靝,tin
非,fei
非贏利組織,fei jing lei zou zik
非赢利组织,fei jing lei zou zik
靟,fei
靠,kaau
靡,mei
面,min
面㶶㶶,min lung lung
面㶶㶶,min nung nung
面懵心精,min mung sam zeng
面燶燶,min lung lung
面燶燶,min nung nung
面生,min saang
面生,min sang
面紅面綠,min hung min lok
面紅面綠,min hung min luk
面红面绿,min hung min lok
面红面绿,min hung min luk
面青,min ceng
面青,min cing
面青青,min ceng ceng
面青青,min cing cing
靣,min
靤,paau
靥,jip
靥,jim
靦,min
靦,tin
靦,din
靦臉,tin lim
靧,fui
靨,jip
靨,jim
革,gaak
革,gik
革,gaap
靪,ding
靫,caa
靫,caai
靬,gin
靭,jan
靮,dik
靯,dou
靰,wu
靱,jan
靱,ngan
靲,kam
靳,gan
靴,hoe
靵,lau
靵,nau
靶,baa
靷,jan
靸,cap
靸,saap
靸,taat
靹,noi
靺,mut
靺,maat
靻,zou
靼,daat
靽,bun
靾,jai
靾,sit
靿,aau
鞀,tou
鞁,bei
鞁,pei
鞂,gaai
鞃,wang
鞄,baau
鞄,pok
鞄,paau
鞅,joeng
鞆,bing
鞇,jan
鞈,gaap
鞉,tou
鞊,kit
鞋,haai
鞌,on
鞍,on
鞎,han
鞏,gung
鞐,lung
鞑,taat
鞑,daat
鞒,kiu
鞓,ting
鞔,mun
鞕,ngaang
鞖,seoi
鞗,tiu
鞘,ciu
鞘,saau
鞙,jyun
鞙,gyun
鞚,hung
鞛,bung
鞜,daap
鞝,zoeng
鞝,soeng
鞞,bing
鞞,bei
鞞,pei
鞟,kwok
鞠,guk
鞡,laai
鞡,laa
鞢,sip
鞢,zaap
鞣,jau
鞤,bong
鞥,ang
鞦,cau
鞧,cau
鞨,hot
鞨,maat
鞩,ciu
鞪,mau
鞪,mou
鞫,guk
鞬,gin
鞭,bin
鞭辟入里,bin pik jap leoi
鞮,dai
鞯,zin
鞰,wan
鞱,tou
鞲,kau
鞲,gau
鞳,daap
鞳,taap
鞴,bei
鞵,haai
鞶,pun
鞷,gaak
鞷,lik
鞸,bat
鞸,bei
鞹,kwok
鞺,tong
鞻,lau
鞼,gwai
鞽,kiu
鞾,hoe
鞿,gei
韀,zin
韁,goeng
韂,cim
韃,taat
韃,daat
韄,wu
韄,waak
韅,hin
韆,cin
韇,duk
韈,maat
韈,mat
韉,zin
韊,laan
韋,wai
韌,ngan
韌,jan
韌帶,jan daai
韌性,jan sing
韌性,ngan sing
韍,fat
韎,mui
韎,mut
韏,gyun
韏,hyun
韐,gaap
韑,wai
韒,ciu
韓,hon
韔,coeng
韕,tou
韖,jau
韗,wan
韘,sip
韙,wai
韚,gaak
韛,bai
韜,tou
韝,gau
韝,kau
韞,wan
韞入黑房,wan jap hak fong
韟,gou
韠,bat
韡,wai
韢,ceoi
韣,duk
韤,maat
韤,mat
韥,duk
韦,wai
韧,ngan
韧,jan
韧带,jan daai
韧性,jan sing
韧性,ngan sing
韨,fat
韩,hon
韪,wai
韫,wan
韫入黑房,wan jap hak fong
韬,tou
韭,gau
韮,gau
韯,cim
韰,haai
韱,cim
韲,zai
音,jam
音乐,jam ngok
音乐之声,jam ngok zi sing
音名,jam meng
音名,jam ming
音效卡,jam haau kaat
音樂,jam ngok
音樂之聲,jam ngok zi sing
韴,zaap
韵,wan
韶,siu
韷,lyut
韸,pung
韹,jing
韹,wong
韹,waang
韺,jing
韻,wan
韼,pung
韽,am
韾,jam
響,hoeng
響咹,hoeng on
響處,hoeng syu
頀,wu
頁,jip
頁,kit
頁,sau
頂,ding
頂,deng
頂事,deng si
頂夸克,deng kwaa hak
頂夾,deng gep
頂夾,deng gip
頂夾,ding gaap
頂層,deng cang
頂帽,deng mou
頂心頂肺,deng sam ding fai
頂心頂肺,ding sam ding fai
頂板,deng baan
頂架,deng gaa
頂桿,deng gon
頂棒,deng paang
頂棚,deng paang
頂樓,deng lau
頂燈,deng dang
頂蓋,deng goi
頂部,deng bou
頂閥,deng fat
頂面,deng min
頂風,deng fung
頂風停止,ding fung ting zi
頃,king
頃刻,king haak
頃刻,king hak
頃刻間,king hak gaan
頄,kwai
頄,kau
項,hong
順,seon
順景,seon geng
順景,seon ging
頇,hon
須,seoi
頉,ji
頊,juk
頋,gu
頌,zung
頌,jung
頌聲載道,zung sing zoi dou
頍,kwai
頎,kei
頏,hong
頏,kong
預,jyu
預校錄影,jyu gaau luk jing
預託證券,jyu tok zing hyun
頑,waan
頒,baan
頒,fan
頒,paan
頓,deon
頓,duk
頔,dik
頕,daam
頖,pun
頗,po
領,ling
領,leng
領前,leng cin
領口,leng hau
領呔,leng taai
領咗,leng zo
領嘢,leng je
領子,leng zi
領巾,leng gan
領帶,leng daai
領帶,ling daai
領情,leng cing
領情,ling cing
領教,leng gaau
領教,ling gaau
領當,leng dong
領結,leng git
領走,leng zau
領酒席,leng zau zik
領釦,leng kau
頙,caak
頚,geng
頛,leoi
頜,hap
頜,gap
頝,haau
頞,aat
頟,ngaak
頠,ngai
頡,kit
頡,git
頢,kut
頣,can
頤,ji
頥,ji
頦,hoi
頦,goi
頧,deoi
頨,jyu
頨,pin
頩,ping
頪,loi
頫,fu
頫,tiu
頬,gaap
頭,tau
頭䋨,tau pau
頭冚,tau kam
頭刺,tau cek
頭刺,tau cik
頭啖湯,tau daam tong
頭嗒嗒,tau dap dap
頭揈揈,tau fang fang
頭揈揈,tau fing fing
頭殼頂,tau hok deng
頭禡,tau maa
頭禡,tau ngaa
頭重腳輕,tau cung goek heng
頭頂,tau deng
頭頂,tau ding
頮,fui
頯,kwai
頰,gaap
頰,haap
頰窩,haap wo
頱,lyut
頲,ting
頳,cing
頴,wing
頵,wan
頵,gwan
頶,huk
頷,ham
頸,geng
頹,teoi
頺,teoi
頻,pan
頻侖,pan lan
頻倫,pan lan
頻能,pan lan
頻蹸,pan lan
頼,laai
頽,teoi
頾,zi
頿,zi
顀,ceoi
顁,ding
顂,laai
顃,taam
顄,ham
顅,haan
顆,fo
顆粒物,fo lap mat
顇,seoi
顈,gwing
顉,ham
顉,jam
顊,ji
顋,soi
題,tai
額,ngaak
顎,ngok
顏,ngaan
顏厚有忸怩,ngaan hau jau nuk nei
顐,wan
顑,ham
顒,jung
顓,zyun
顔,ngaan
顕,hin
顖,seon
顗,ngai
願,jyun
顙,song
顚,din
顛,din
顛倒黑白,din dou haak baak
顛倒黑白,din dou hak baak
顜,gong
顝,fui
類,leoi
類地行星,leoi dei hang sing
類木行星,leoi muk hang sing
顟,liu
顠,piu
顡,wui
顢,mun
顣,cuk
顣,zuk
顤,jiu
顤,kiu
顥,hou
顦,ciu
顧,gu
顧命,gu meng
顨,seon
顩,jim
顪,fui
顫,zin
顫寒顫凍,zim hon zim dung
顫聲,zin sing
顬,jyu
顭,mang
顮,ban
顯,hin
顯卡,hin kaat
顯示卡,hin si kaat
顯而易見,hin ji ji gin
顰,pan
顱,lou
顲,lam
顳,nip
顳,jip
顴,kyun
页,jip
页,kit
页,sau
顶,ding
顶,deng
顶事,deng si
顶夸克,deng kwaa hak
顶夹,deng gep
顶夹,deng gip
顶夹,ding gaap
顶层,deng cang
顶帽,deng mou
顶心顶肺,deng sam ding fai
顶心顶肺,ding sam ding fai
顶杆,deng gon
顶板,deng baan
顶架,deng gaa
顶棒,deng paang
顶棚,deng paang
顶楼,deng lau
顶灯,deng dang
顶盖,deng goi
顶部,deng bou
顶阀,deng fat
顶面,deng min
顶风,deng fung
顶风停止,ding fung ting zi
顷,king
顷刻,king haak
顷刻,king hak
顷刻间,king hak gaan
顸,hon
项,hong
顺,seon
顺景,seon geng
顺景,seon ging
须,sou
须,seoi
须丸,seoi jyun
须后,seoi hau
须弥,seoi nei
须根,seoi gan
须根,sou gan
须知,seoi zi
须臾,seoi jyu
须要,seoi jiu
顼,juk
顽,waan
顾,gu
顾命,gu meng
顿,deon
顿,duk
颀,kei
颁,baan
颁,fan
颁,paan
颂,zung
颂,jung
颂声载道,zung sing zoi dou
颃,hong
颃,kong
预,jyu
预托证券,jyu tok zing hyun
预校录影,jyu gaau luk jing
颅,lou
领,ling
领,leng
领前,leng cin
领口,leng hau
领呔,leng taai
领咗,leng zo
领嘢,leng je
领子,leng zi
领巾,leng gan
领带,leng daai
领带,ling daai
领当,leng dong
领情,leng cing
领情,ling cing
领扣,leng kau
领教,leng gaau
领教,ling gaau
领结,leng git
领走,leng zau
领酒席,leng zau zik
颇,po
颈,geng
颉,kit
颉,git
颊,gaap
颊,haap
颊窝,haap wo
颋,ting
颌,hap
颌,gap
颍,wing
颎,gwing
颏,hoi
颏,goi
颐,ji
频,pan
频仑,pan lan
频伦,pan lan
频能,pan lan
频蹸,pan lan
颒,fui
颓,teoi
颔,ham
颕,wing
颖,wing
颗,fo
颗粒物,fo lap mat
题,tai
颙,jung
颚,ngok
颛,zyun
颜,ngaan
颜厚有忸怩,ngaan hau jau nuk nei
额,ngaak
颞,nip
颞,jip
颟,mun
颠,din
颠倒黑白,din dou haak baak
颠倒黑白,din dou hak baak
颡,song
颢,hou
颣,leoi
颤,zin
颤声,zin sing
颤寒颤冻,zim hon zim dung
颥,jyu
颦,pan
颧,kyun
風,fung
風信鴿,fung seon gap
風水生,fung seoi saang
風癩,fung naan
風聲緊,fung sing gan
風聲鶴唳,fung sing hok leoi
風調雨順,fung tiu jyu seon
颩,biu
颪,haa
颫,fu
颬,haa
颭,zim
颮,biu
颮,paau
颯,saap
颰,bat
颱,toi
颲,lit
颳,gwaat
颴,syun
颵,saau
颶,geoi
颷,biu
颸,si
颸,ci
颹,wai
颺,joeng
颻,jiu
颼,sau
颼,suk
颽,hoi
颾,sou
颾,sau
颿,faan
飀,lau
飁,zaap
飂,lau
飂,liu
飂,luk
飃,piu
飄,piu
飅,lau
飆,biu
飇,biu
飈,biu
飉,liu
飊,biu
飋,sat
飌,fung
飍,haau
风,fung
风信鸽,fung seon gap
风声紧,fung sing gan
风声鹤唳,fung sing hok leoi
风尘仆仆,fung can buk buk
风水生,fung seoi saang
风癞,fung naan
风调雨顺,fung tiu jyu seon
飏,joeng
飐,zim
飑,biu
飑,paau
飒,saap
飓,geoi
飔,si
飔,ci
飕,sau
飕,suk
飖,jiu
飗,lau
飘,piu
飙,biu
飚,biu
飛,fei
飛上枝頭變鳳凰,fei soeng kei tau bin fung wong
飛哩啡呢,fi li fe le
飛彈潛艇,fei daan cim ting
飛簷走壁,fei jam zau bek
飛雁,fei ngaang
飛鵝嶺,fei ngo leng
飜,faan
飝,fei
飞,fei
飞上枝头变凤凰,fei soeng kei tau bin fung wong
飞哩啡呢,fi li fe le
飞弹潜艇,fei daan cim ting
飞檐走壁,fei jam zau bek
飞檐走壁,fei jim zau bik
飞檐走壁,fei sim zau bik
飞雁,fei ngaang
飞鹅岭,fei ngo leng
食,sik
食,ji
食,zi
食人只车,sik jan zek geoi
食人隻車,sik jan zek geoi
食前方丈,sik cing fong zoeng
食剩,sik zing
食口立湿,sik hau lap sap
食口立溼,sik hau lap sap
食和,sik wu
食夜粥,sek je zuk
食夜粥,sik je zuk
食夹棍,sek gaap gwan
食夹棍,sik gaap gwan
食夾棍,sek gaap gwan
食夾棍,sik gaap gwan
食少啖多覺瞓,sik siu daam do gaau fan
食少啖多觉瞓,sik siu daam do gaau fan
食屎屙飯,sik si ngo faan
食屎屙飯,sik si o faan
食屎屙饭,sik si ngo faan
食屎屙饭,sik si o faan
食得咸鱼就要抵得渴,sik dak haam jyu zau jiu dai dak hok
食得咸鱼就要抵得渴,sik dak haam jyu zau jiu dai dak hot
食得困得,sik dak fan dak
食得鹹魚就要抵得渴,sik dak haam jyu zau jiu dai dak hok
食得鹹魚就要抵得渴,sik dak haam jyu zau jiu dai dak hot
食柠檬,sik ling mung
食柠檬,sik ning mung
食檸檬,sik ling mung
食檸檬,sik ning mung
食正,sik zeng
食盐多过你食米行桥多过你行路,sik jim do gwo nei sik mai haang kiu do gwo nei haang lou
食穀種,sik gok zung
食穀種,sik guk zung
食药,sek joek
食药,sik joek
食葯,sek joek
食詐和,sik zaa wu
食诈和,sik zaa wu
食谷种,sik gok zung
食谷种,sik guk zung
食起嚟,sik hei lei
食鹽多過你食米行橋多過你行路,sik jim do gwo nei sik mai haang kiu do gwo nei haang lou
飡,caan
飢,gei
飢不擇食,gei bat zaak sik
飢寒交迫,gei hon gaau baak
飢寒交迫,gei hon gaau bik
飣,ding
飤,zi
飤,sik
飥,tok
飦,zin
飧,syun
飨,hoeng
飩,tan
飩,tyun
飪,jam
飪,jan
飫,jyu
飬,gyun
飭,cik
飭,sik
飮,jam
飯,faan
飯匙,faan ci
飯盒,faan haap
飯盒,faan hap
飰,faan
飱,syun
飲,jam
飲啖水,jam daam seoi
飲啖茶,jam daam caa
飲清酒,jam cing zau
飳,tau
飴,ji
飵,zok
飶,bit
飶,bei
飷,ze
飸,tou
飹,baau
飺,ci
飻,tit
飼,zi
飽,baau
飽肊,baau ik
飾,sik
飾,cik
飿,deot
餀,ngaai
餁,jam
餂,tim
餃,gaau
餄,hap
餄餎,gaap lok
餅,beng
餅,bing
餅卡,beng kaat
餅咭,beng gat
餅咭,beng kaak
餅咭,beng kaat
餅咭,beng kat
餅鐺,beng caang
餆,jiu
餇,tung
餈,ci
餉,hoeng
養,joeng
養精蓄銳,joeng zeng cuk jeoi
養精蓄銳,joeng zing cuk jeoi
餋,gyun
餌,nei
餍,jim
餎,lok
餏,si
餐,caan
餐券,caan gyun
餑,but
餒,neoi
餒,noi
餓,ngo
餓死老婆熏臭屋,ngo sei lou po wan cau uk
餓死老婆薰臭屋,ngo sei lou po wan cau uk
餔,bou
餕,zeon
餖,dau
餗,cuk
餗,suk
餘,jyu
餘勇可賈,jyu jung ho gu
餙,sik
餚,ngaau
餛,wan
餜,gwo
餝,sik
餞,zin
餟,zeoi
餟,zyut
餠,beng
餠,bing
餡,haam
餢,bau
餣,jip
餤,daam
餤,taam
餥,fei
餦,zoeng
餧,wai
餧,neoi
餧,noi
館,gun
館長,gun zoeng
餩,ak
餪,nyun
餫,wan
餬,wu
餭,wong
餮,tit
餯,fui
餰,gin
餰,zin
餱,hau
餲,aat
餲,ngaat
餲,aai
餲,hot
餲堪堪,ngaat ham ham
餳,cing
餳,tong
餴,ban
餴,fan
餵,wai
餶,gwat
餷,caa
餸,sung
餹,tong
餺,bok
餻,gou
餼,hei
餽,gwai
餾,lau
餿,suk
餿,sau
餿主意,sau zyu ji
餿水,saau seoi
餿水,sau seoi
饀,tou
饁,jip
饂,wan
饃,mo
饄,tong
饅,maan
饆,bat
饇,jyu
饈,sau
饉,gan
饊,saan
饋,gwai
饌,zaan
饌,syun
饌死你,zaang sei nei
饌飽,zaang baau
饍,sin
饎,ci
饏,daam
饐,ji
饑,gei
饒,jiu
饒命,jiu meng
饒命,jiu ming
饒舌調唇,jiu sit tiu seon
饓,caang
饔,jung
饕,tou
饖,wai
饗,hoeng
饘,zin
饙,fan
饙,pan
饚,hoi
饛,mung
饜,jim
饝,mo
饞,caam
饟,hoeng
饠,lo
饡,zaan
饢,nong
饤,ding
饥,gei
饥不择食,gei bat zaak sik
饥寒交迫,gei hon gaau baak
饥寒交迫,gei hon gaau bik
饦,tok
饧,cing
饧,tong
饨,tan
饨,tyun
饩,hei
饪,jam
饪,jan
饫,jyu
饬,cik
饬,sik
饭,faan
饭匙,faan ci
饭盒,faan haap
饭盒,faan hap
饮,jam
饮啖水,jam daam seoi
饮啖茶,jam daam caa
饮清酒,jam cing zau
饯,zin
饰,sik
饰,cik
饱,baau
饱肊,baau ik
饲,zi
饲,sik
饳,deot
饴,ji
饵,nei
饶,jiu
饶命,jiu meng
饶命,jiu ming
饶舌调唇,jiu sit tiu seon
饷,hoeng
饸,hap
饸饹,gaap lok
饹,lok
饺,gaau
饻,si
饼,beng
饼,bing
饼卡,beng kaat
饼咭,beng gat
饼咭,beng kaak
饼咭,beng kaat
饼咭,beng kat
饼铛,beng caang
饽,but
饾,dau
饿,ngo
饿死老婆薰臭屋,ngo sei lou po wan cau uk
馀,jyu
馀勇可贾,jyu jung ho gu
馁,neoi
馁,noi
馂,zeon
馃,gwo
馄,wan
馅,haam
馆,gun
馆长,gun zoeng
馇,caa
馈,gwai
馉,gwat
馊,suk
馊,sau
馊主意,sau zyu ji
馊水,saau seoi
馊水,sau seoi
馋,caam
馌,jip
馍,mo
馎,bok
馏,lau
馐,sau
馑,gan
馒,maan
馓,saan
馔,zaan
馔,syun
馔死你,zaang sei nei
馔饱,zaang baau
馕,nong
首,sau
首字母拚音詞,sau zi mou ping jam ci
首重,sau zung
首長,sau zoeng
首长,sau zoeng
馗,kwai
馘,gwik
馘,gwok
香,hoeng
馚,fan
馛,bat
馜,nei
馝,bit
馞,but
馟,tou
馠,ham
馡,fei
馢,zin
馣,am
馤,oi
馥,fuk
馦,him
馧,wan
馧,wat
馨,hing
馩,fan
馪,pan
馫,hing
馬,maa
馬伯樂,maa baak lok
馬克斯,maa haak si
馬克斯威爾,maa hak si wai ji
馬命,maa meng
馬圈,maa gyun
馬尼拉,maa nei laa
馬尼拉,maa nei laai
馬尼拉大學,maa nei laai daai hok
馬德裏,maa dak lei
馬拉喀什,maa laai kaa sap
馬斯喀特,maa si kaa dak
馬死落地行,maa sei lok dei haang
馬死落地行,maa si lok dei haang
馬狂螂,maa kong long
馬票,maa biu
馬褂,maa gwaa
馬軛,maa ngaak
馬辰席,maa san zek
馬騮精,maa lau zeng
馬騮精,maa lau zing
馬騾,maa lo
馬鹿易形,maa luk ji jing
馭,jyu
馮,fung
馮,pang
馯,hon
馰,dik
馱,to
馱,do
馱子,do zi
馲,tok
馲,lok
馳,ci
馴,seon
馴,ceon
馴和,ceon wo
馴和,seon wo
馴獅,ceon si
馴獸師,ceon sau si
馴獸師,seon sau si
馴良,ceon loeng
馴良,seon loeng
馴虎,ceon fu
馴順,ceon seon
馴順,seon seon
馴養,ceon joeng
馴養,seon joeng
馴養繁殖,seon joeng faan zik
馵,zyu
馶,zi
