ch,wuu-sh,wuu-sz
薇,vi,vi
薈,ue,ue
薊,ci,ci
薌,shian,shian
薏,i,i
薐,len,len
薑,cian,cian
薔,zian,zian
薔薇,zian vi,zian vi
薔薇樹,zian bi zy,zian bi zyu
薔薇花,zian bi ho,zian bi ho
薘,daq,daeq
薙,thi,thi
薙,zy,zyu
薛,siq,siq
薜,bi,bi
薟,si,sie
薢,gha,gha
薢,ka,ka
薤,gha,gha
薤,ya,ya
薦,tsi,tsie
薨,hon,hon
薩,saq,saeq
薩伊,saq i,saeq i
薪,sin,sin
薮,seu,seu
薯,zy,zyu
薰,shion,shiun
薰,shiun,shiun
薳,we,we
薳,yoe,yoe
薷,zy,zyu
薸,biau,biau
薹,de,de
薺,zi,zi
薺,zi,zia
薿,gni,gni
藁,kau,kau
藃,hau,hau
藉,ziq,ziq
藉,tsia,tsia
藍,le,le
藎,zin,zin
藏,zaon,zaon
藏,zan,zaon
藐,miau,miau
藓,si,sie
藕,ngeu,ngeu
藜,li,li
藝,gni,gni
藟,le,le
藠,ciau,kau
藤,den,den
藥,yaq,yaq
藥行,yaq ghaon,yaq ghaon
藦,mu,mo
藨,piau,piau
藩,ve,ve
藪,seu,seu
藶,liq,liq
藷,zy,zyu
藹,e,e
藺,lin,lin
藻,tsau,tsau
藿,hoq,hoq
蘀,thoq,thoq
蘄,ji,ji
蘅,ghen,ghen
蘆,lu,lou
蘇,su,sou
蘊,ion,iun
蘊,iun,iun
蘊,uen,uen
蘋,bin,bin
蘑,mo,mo
蘑,mu,mo
蘖,gniq,gniq
蘗,gniq,gniq
蘘,gnian,zan
蘚,si,sie
蘞,li,lie
蘢,lon,lon
蘧,jiu,jiu
蘩,ve,ve
蘭,le,le
蘶,we,we
蘸,tse,tse
蘺,li,li
蘼,mi,mi
蘿,lu,lou
虉,gniq,gni
虍,hu,hou
虎,hu,hou
虎仔,hu tse,hou tse
虏,lu,lou
虐,gniaq,gniaq
虑,liu,li
虒,sy,sy
虓,hau,hau
虔,ji,jie
處,tshy,tshyu
處長,tshy tsan,tshyu tsan
虚,shiu,shiu
虚,shiu,he
虛,shiu,shiu
虛,shiu,he
虜,lu,lou
虞,gniu,gniu
虞,yu,yu
號,ghau,ghau
虢,kuaq,kuaeq
虢,koq,kueq
虤,nge,nge
虧,khue,khue
虧,chiu,chiu
虧得,chiu teq,chiu teq
虫,zon,zon
虬,jieu,jieu
虮,ci,ci
虯,jieu,jieu
虱,seq,seq
虷,ghoe,ghoe
虸,tsy,tsy
虹,ghon,ghon
虹,kaon,kaon
虺,hue,hue
虻,maon,maon
虻,man,man
虼,keq,keq
虽,soe,se
虽大,soe du,se dou
虾,ho,ho
虾,hoe,ho
虾,ho,ghaon
虿,tsha,tsha
蚀,zeq,zeq
蚁,gni,gni
蚂,mo,mo
蚄,faon,faon
蚆,po,po
蚊,men,ven
蚊,ven,ven
蚊,ven,men
蚋,zoe,zoe
蚌,ban,ban
蚍,phi,phi
蚍,bi,bi
蚓,yin,yin
蚕,zoe,zoe
蚘,we,we
蚜,nga,nga
蚜,ya,ya
蚝,ghau,ghau
蚣,kon,kon
蚤,tsau,tsau
蚧,ka,ka
蚧,cia,cia
蚨,vu,vu
蚩,tshy,tshyu
蚪,teu,teu
蚬,shi,shie
蚯,chieu,chieu
蚰,yeu,yeu
蚱,tsaq,tsaeq
蚱,tso,tso
蚲,bin,bin
蚴,ieu,ieu
蚶,hoe,hoe
蚺,zoe,zoe
蚾,po,paq
蛀,tsy,tsyu
蛃,pin,pin
蛄,ku,kou
蛅,ze,ze
蛆,tshiu,tshi
蛆,tshi,tshi
蛇,zo,zo
蛉,lin,lin
蛊,ku,kou
蛋,de,de
蛎,li,li
蛏,tshen,tshen
蛐,chioq,chioq
蛐,chiuq,chioq
蛑,meu,meu
蛓,tshy,tshy
蛓,tshy,tshi
蛔,we,we
蛘,yan,yan
蛙,o,o
蛙,ua,ua
蛛,tsy,tsyu
蛞,khueq,khueq
蛟,ciau,ciau
蛤,keq,keq
蛩,jion,jion
蛭,tseq,tseq
蛮,me,me
蛮多,me tu,me tou
蛮大,me du,me dou
蛮方便,me faon bi,me faon bie
蛮热,me gniq,me zeq
蛮结棍,me ciq kuen,me ciq kuen
蛰,zeq,zeq
蛱,kaq,kaeq
蛱,kaq,ciq
蛲,gniau,zau
蛳,sy,sy
蛴,zi,zi
蛸,sau,sau
蛸,siau,siau
蛹,ion,ion
蛺,kaq,kaeq
蛺,kaq,ciq
蛻,thoe,the
蛻,thoe,thou
蛻,the,the
蛾,ngu,ngou
蜀,zoq,zoq
蜂,fon,fon
蜃,zen,zen
蜆,shi,shie
蜇,zeq,zeq
蜈,wu,vu
蜈,wu,ghou
蜉,veu,fu
蜉,vu,vu
蜉,veu,veu
蜊,li,li
蜍,zy,zyu
蜎,ioe,ioe
蜐,ciq,ciq
蜒,yi,ye
蜓,din,din
蜕,thoe,the
蜕,thoe,thou
蜕,the,the
蜗,ku,kou
蜘,tsy,tsyu
蜚,fi,fi
蜜,miq,miq
蜞,ji,ji
蜡,laq,laeq
蜡,zo,zo
蜢,man,man
蜣,chian,chian
蜥,siq,siq
蜩,diau,diau
蜮,yoq,ioq
蜮,yuq,yuq
蜱,bi,bi
蜴,yiq,yiq
蜷,jioe,jioe
蜺,gni,gni
蜻,sin,sin
蜻,tshin,tshin
蜾,ku,kou
蜿,uoe,uoe
蝀,ton,ton
蝇,in,in
蝈,kuaq,kuaeq
蝉,zoe,zoe
蝌,khu,khou
蝍,tsiq,tsiq
蝎,shiq,shiq
蝓,yu,yu
蝕,zeq,zeq
蝗,waon,waon
蝘,i,ie
蝙,pi,pie
蝟,we,we
蝠,foq,foq
蝣,yeu,yeu
蝤,yeu,yeu
蝤,zieu,zeu
蝥,mau,mau
蝦,ho,ho
蝦,hoe,ho
蝦,ho,ghaon
蝨,seq,seq
蝪,yiq,yiq
蝮,foq,foq
蝰,khue,khue
蝱,maon,maon
蝲,laq,laeq
蝴,wu,ghou
蝶,diq,diq
蝸,ku,kou
蝻,noe,noe
蝼,leu,leu
蝽,tshen,tshen
蝽,tshoe,tshoe
蝾,yon,yon
螂,laon,laon
螃,baon,baon
螄,sy,sy
螅,siq,siq
螈,gnioe,gnioe
螋,seu,seu
螌,pe,pe
融,yon,yon
螓,zin,zin
螗,daon,daon
螞,mo,mo
螟,min,min
螠,iq,iq
螢,yin,yin
螢,yon,yin
螣,den,den
螨,moe,moe
螫,seq,seq
螫,seq,saq
螬,zau,zau
螭,tshy,tshyu
螯,ngau,ngau
螱,ue,ue
螳,daon,daon
螵,phiau,phiau
螺,lu,lou
螻,leu,leu
螽,tson,tson
蟀,seq,seq
蟄,zeq,zeq
蟅,tso,tso
蟆,mo,mo
蟈,kuaq,kuaeq
蟊,meu,mau
蟋,siq,siq
蟎,moe,moe
蟏,siau,siau
蟑,tsaon,tsan
蟑,tsaon,tsaon
蟒,maon,maon
蟚,ban,ban
蟛,ban,ban
蟛,ban,ben
蟠,boe,boe
蟢,shi,shi
蟣,ci,ci
蟥,waon,waon
蟪,we,we
蟫,yin,yin
蟬,zoe,zoe
蟮,zoe,zoe
蟯,gniau,zau
蟲,zon,zon
蟶,tshen,tshen
蟹,ha,ha
蟹,ga,ha
蟺,zoe,zoe
蟻,gni,gni
蟾,zoe,zoe
蠃,lu,lou
蠅,in,in
蠆,tsha,tsha
蠉,shioe,shioe
蠊,li,lie
蠋,zoq,zoq
蠍,shiq,shiq
蠐,zi,zi
蠑,yon,yon
蠓,mon,mon
蠔,ghau,ghau
蠕,zy,zyu
蠕,lu,zyu
蠖,ghoq,ghoq
蠖,oq,oq
蠟,laq,laeq
蠡,li,li
蠢,tshen,tshen
蠣,li,li
蠨,siau,siau
蠱,ku,kou
蠲,cioe,cioe
蠶,zoe,zoe
蠹,tu,tou
蠹,du,dou
蠻,me,me
蠻多,me tu,me tou
蠻大,me du,me dou
蠻方便,me faon bi,me faon bie
蠻熱,me gniq,me zeq
蠻結棍,me ciq kuen,me ciq kuen
蠼,jiu,jiu
血,shioq,shiuq
血,shiuq,shiuq
衁,huaon,huaon
衃,phe,phe
衄,gnioq,gnieu
衅,shin,shin
衆,tson,tson
衆望,tson waon,tson maon
衆牲,tson san,tson san
衆生,tson san,tson san
衊,miq,miq
行,yin,yin
行,ghaon,ghaon
行,ghan,ghan
行业,ghaon gniq,ghaon gniq
行乐,ghaon loq,ghaon loq
行书,ghan sy,ghan syu
行伍,ghan wu,ghan vu
行会,ghaon we,ghaon we
行內,ghaon ne,ghaon ne
行内,ghaon ne,ghaon ne
行列,ghaon liq,ghaon liq
行勿住,ghan veq zy,ghan veq zyu
行勿落,ghan veq loq,ghan veq loq
行号,ghaon ghau,ghaon ghau
行员,ghaon yoe,ghaon yoe
行員,ghaon yoe,ghaon yoe
行商,ghaon saon,ghaon saon
行头,ghan deu,ghan deu
行家,ghaon cia,ghaon cia
行家,ghaon ka,ghaon cia
行尾,ghaon vi,ghaon vi
行帮,ghaon paon,ghaon paon
行幫,ghaon paon,ghaon paon
行库,ghaon khu,ghaon khou
行庫,ghaon khu,ghaon khou
行当,ghaon taon,ghaon taon
行情,ghaon zin,ghaon zin
行情行事,ghaon zin ghaon zy,ghaon zin ghaon zyu
行政,ghaon tsen,ghaon tsen
行数,ghaon su,ghaon sou
行數,ghaon su,ghaon sou
行書,ghan sy,ghan syu
行會,ghaon we,ghaon we
行李,ghan li,ghan li
行检,ghaon ci,ghaon cie
行業,ghaon gniq,ghaon gniq
行楷,ghan kha,ghan kha
行樂,ghaon loq,ghaon loq
行檢,ghaon ci,ghaon cie
行照,ghaon tsau,ghaon tsau
行画,ghaon gho,ghaon gho
行畫,ghaon gho,ghaon gho
行當,ghaon taon,ghaon taon
行管,ghaon kuoe,ghaon kuoe
行絕,ghaon ziq,ghaon ziq
行绝,ghaon ziq,ghaon ziq
行號,ghaon ghau,ghaon ghau
行規,ghaon kue,ghaon kue
行规,ghaon kue,ghaon kue
行話,ghaon gho,ghaon gho
行话,ghaon gho,ghaon gho
行販,ghaon fe,ghaon fe
行贩,ghaon fe,ghaon fe
行距,ghaon jiu,ghaon jiu
行車,ghaon tsho,ghaon tsho
行車,yin tsho,yin tsho
行车,ghaon tsho,ghaon tsho
行车,yin tsho,yin tsho
行过去,ghan ku chi,ghan kou chi
行過去,ghan ku chi,ghan kou chi
行道树,ghan dau zy,ghan dau zyu
行道樹,ghan dau zy,ghan dau zyu
行長,ghaon tsan,ghaon tsan
行长,ghaon tsan,ghaon tsan
行頭,ghan deu,ghan deu
衍,yi,ye
衍,i,ie
衎,khoe,khoe
衒,yoe,yoe
術,zeq,zeq
衔,ghe,ye
衔,nge,nge
衔,ghe,ghe
衔,yi,ye
衔头,nge deu,nge deu
衖,lon,lon
街,ka,ka
衙,nga,nga
衙,ya,ya
衛,we,we
衝,tshon,tshon
衠,tsen,tsen
衡,ghen,ghen
衢,jiu,jiu
衣,i,i
衤,i,i
补,pu,pu
表,piau,piau
表率,piau se,piau se
衩,tsha,tsho
衩,tsho,tsho
衫,se,se
衬,tshen,tshen
衭,fu,fu
衮,kuen,kuen
衰,se,se
衰,sa,se
衰,tshe,tshe
衰瘏,sa du,se dou
衲,naq,naeq
衲,naq,neq
衷,tson,tson
衹,ji,ji
衹,tseq,tseq
衽,gnin,zen
衽,zen,zen
衾,chin,chin
衿,cin,cin
袁,yoe,yoe
袂,me,me
袄,au,au
袅,gniau,gniau
袆,hue,hue
袈,cia,cia
袈,ka,cia
袈,ka,ka
袋,de,de
袍,bau,bau
袒,the,the
袖,zieu,zeu
袗,tsen,tsen
袜,meq,meq
袜,maq,maq
袜,meq,maeq
袞,kuen,kuen
袢,phe,phe
袤,meu,meu
袤,mau,mau
袥,thoq,thoq
袪,chiu,chiu
被,be,be
被,bi,bi
被单,bi te,bi te
被單,bi te,bi te
被头,bi deu,bi deu
被套,bi thau,bi thau
被子,bi tsy,bi tsy
被横头,bi wan deu,bi wan deu
被橫頭,bi wan deu,bi wan deu
被頭,bi deu,bi deu
被風洞,bi fon don,bi fon don
被风洞,bi fon don,bi fon don
袭,ziq,ziq
袯,feq,feq
袱,voq,voq
袴,khu,khou
袷,kaq,kaeq
袼,koq,koq
裁,ze,ze
裂,liq,liq
装,tsaon,tsaon
装腔作死,tsaon chian tsoq si,tsaon chian tsoq sy
裆,taon,taon
裈,khuen,khuen
裈,khuen,kuen
裉,khen,khen
裊,gniau,gniau
裌,kaq,kaeq
裎,tshen,tshen
裏,li,li
裒,beu,beu
裔,yi,yi
裔,iq,iq
裕,yu,yu
裘,jieu,jieu
裙,jion,jiun
裙,jiun,jiun
裛,iq,iq
補,pu,pu
裝,tsaon,tsaon
裝腔作死,tsaon chian tsoq si,tsaon chian tsoq sy
裟,sa,so
裟,so,so
裡,li,li
裢,li,lie
裣,li,lie
裤,khu,khou
裥,ke,ke
裨,pe,pe
裨,bi,bi
裰,teq,teq
裱,piau,piau
裳,zaon,zaon
裴,be,be
裸,lu,lou
裹,ku,kou
裼,siq,siq
裼,thi,thi
製,tsy,tsyu
裾,ciu,ciu
褂,ko,ko
褂,ko,kua
複,foq,foq
褊,pi,pie
褊,bi,bie
褌,khuen,khuen
褌,khuen,kuen
褎,zieu,zeu
褐,gheq,gheq
褐,gheq,eq
褒,pau,pau
褓,pau,pau
褕,yu,yu
褘,hue,hue
褙,pe,pe
褚,tshy,tshyu
褛,liu,li
褡,taq,taeq
褥,gnioq,zoq
褥,gnioq,gnioq
褪,the,the
褪,the,thou
褫,tshy,tshyu
褯,zia,zia
褰,chi,chie
褲,khu,khou
褳,li,lie
褴,le,le
褶,tseq,tseq
褶,ziq,ziq
褶裤,ziq khu,ziq khou
褶褲,ziq khu,ziq khou
褸,liu,li
褻,siq,siq
褼,si,sie
襀,tsiq,tsiq
襁,chian,chian
襄,sian,sian
襆,phoq,boq
襇,ke,ke
襉,ke,ke
襏,feq,feq
襔,moe,moe
襕,le,le
襖,au,au
襚,zoe,ze
襜,tshoe,tsoe
襝,li,lie
襞,piq,piq
襟,cin,cin
襠,taon,taon
襤,le,le
襦,zy,zyu
襪,maq,maeq
襪,meq,maeq
襫,seq,seq
襬,pa,pa
襯,tshen,tshen
襱,lon,lon
襲,ziq,ziq
襴,le,le
襻,phe,phe
襾,o,o
西,si,si
西乐,si yaq,si yaq
西晒,si so,si so
西曬,si so,si so
西樂,si yaq,si yaq
西洋乐,si yan yaq,si yan yaq
西洋樂,si yan yaq,si yan yaq
覀,o,o
要,iau,iau
要个,iau gheq,iau keq
要塞,iau se,iau se
要搬个,iau poe gheq,iau poe keq
覃,de,de
覃,de,doe
覅,viau,fiau
覆,foq,foq
覈,gheq,gheq
覈,gheq,ngeq
見,ci,cie
見教,ci kau,cie ciau
見鬼,ci kue,cie kue
覎,i,ie
規,kue,kue
覓,miq,miq
視,zy,zyu
覘,tshoe,tsoe
覘,tsoe,tsoe
覡,yiq,yiq
覥,thi,thi
覦,yu,yu
覧,le,le
覩,tu,tou
親,tshin,tshin
親交,tshin kau,tshin ciau
親家,tshin cia,tshin cia
親家,tshin ka,tshin cia
親家公,tshin ka kon,tshin cia kon
親家母,tshin ka mu,tshin cia mo
親日,tshin zeq,tshin zeq
親生,tshin san,tshin san
親生,tshin sen,tshin sen
覬,ci,ci
覯,keu,keu
覰,tshiu,tshi
覲,jin,jin
覷,tshiu,tshi
覷,tshi,tshi
覺,cioq,ciuq
覺,kau,ciau
覺,koq,koq
覺,ciau,ciau
覺,ciuq,ciuq
覺,kau,kau
覺,cioq,cioq
覻,tshi,tshi
覽,le,le
覿,diq,diq
觀,kuoe,kuoe
见,ci,cie
见教,ci kau,cie ciau
见鬼,ci kue,cie kue
观,kuoe,kuoe
觃,i,ie
规,kue,kue
觅,miq,miq
视,zy,zyu
觇,tshoe,tsoe
觇,tsoe,tsoe
览,le,le
觉,cioq,ciuq
觉,kau,ciau
觉,koq,koq
觉,ciau,ciau
觉,ciuq,ciuq
觉,kau,kau
觉,cioq,cioq
觊,ci,ci
觋,yiq,yiq
觌,diq,diq
觍,thi,thi
觎,yu,yu
觏,keu,keu
觐,jin,jin
觑,tshiu,tshi
觑,tshi,tshi
角,koq,koq
角,cioq,cioq
觔,cin,cin
觖,cioq,ciuq
觖,ciuq,ciuq
觚,ku,kou
觜,tsoe,tsoe
觜,tsy,tsy
觞,saon,saon
觟,gha,gha
觟,gho,gho
解,cia,cia
解,ka,ka
解,ga,ha
解,ga,ga
解,cia,cie
解刚,ka kaon,ka kaon
解剛,ka kaon,ka kaon
解山河,ga se wu,ha se ghou
解恹气,ka i chi,ka ie chi
解懨氣,ka i chi,ka ie chi
解药,ka yaq,ka yaq
解藥,ka yaq,ka yaq
解鈕頭,ga gnieu deu,ha gnieu deu
解钮头,ga gnieu deu,ha gnieu deu
觥,kuaon,kon
觥,kon,kon
触,tshoq,tshoq
觫,soq,soq
觭,chi,chi
觭,ci,ci
觯,tsy,tsyu
觱,piq,piq
觳,ghoq,ghoq
觴,saon,saon
觶,tsy,tsyu
觸,tshoq,tshoq
觹,shi,shi
觽,shi,shi
觿,shi,shi
言,yi,ye
言,ghe,ye
言話,ghe gho,ye gho
言话,ghe gho,ye gho
訁,gni,gnie
訂,tin,tin
訃,fu,fu
訄,jieu,jieu
訇,hon,hon
計,ci,ci
訊,sin,sin
訌,hon,hon
討,thau,thau
訏,shiu,shiu
訐,ciq,ciq
訒,gnin,zen
訓,shion,shiun
訓,shiun,shiun
訕,se,se
訖,chiq,chiq
託,thoq,thoq
託交,thoq kau,thoq ciau
記,ci,ci
訛,ngu,ngou
訝,ia,ia
訟,zon,zon
訟,son,son
訡,gnin,gnin
訣,cioq,ciuq
訣,ciuq,ciuq
訥,neq,neq
訥,naq,neq
訩,shion,shion
訪,faon,faon
訪日,faon zeq,faon zeq
訬,tshiau,tshiau
設,seq,seq
許,shiu,shiu
許,shiu,he
訴,su,sou
訶,hu,hou
診,tsen,tsen
註,tsy,tsyu
証,tsen,tsen
訾,tsy,tsy
詀,tshoe,tshoe
詁,ku,kou
詆,ti,ti
詈,li,li
詉,na,na
詉,nau,nau
詎,jiu,jiu
詐,tso,tso
詐,tsa,tso
詐死詐活,tso si tso weq,tso sy tso weq
詐降,tso ghaon,tso ghaon
詒,yi,yi
詔,tsau,tsau
評,bin,bin
詖,pi,pi
詗,shion,shion
詘,chioq,chiuq
詘,chiuq,chiuq
詛,tsu,tsou
詝,zy,zyu
詞,zy,zy
詟,tseq,tseq
詠,ion,ion
詡,shiu,shiu
詢,shion,shiun
詢,shiun,shiun
詢,sin,sin
詢,zin,zin
詣,gni,gni
詣,i,i
詣,yi,yi
試,sy,syu
試,seq,seq
詩,sy,syu
詩行,sy ghaon,syu ghaon
詪,hen,hen
詪,gen,gen
詫,tsha,tsho
詫,tsho,tsho
詬,keu,keu
詭,kue,kue
詮,tshi,tshie
詰,ciq,ciq
話,gho,gho
話,wa,gho
該,ke,ke
詳,zian,zian
詵,sen,sen
詷,don,don
詹,tsoe,tsoe
詼,hue,hue
詾,shion,shion
詿,kua,ko
誄,le,le
誅,tsy,tsyu
誆,khuaon,khuaon
誇,kho,kho
誇,khua,kho
誇,kho,khua
誉,yu,yu
誊,den,den
誌,tsy,tsyu
認,gnin,zen
認,zen,zen
認,gnin,gnin
誏,laon,laon
誏声,laon san,laon san
誏聲,laon san,laon san
誑,guaon,kuaon
誒,e,e
誒,ghe,ghe
誒,shi,shi
誓,zy,zyu
誕,te,te
誗,zi,zie
誘,yeu,yeu
誘,ieu,ieu
誘降,yeu ghaon,yeu ghaon
誚,ziau,ziau
語,gniu,gniu
誠,zen,zen
誡,cia,cia
誣,u,ou
誣,wu,vu
誤,ngu,ngou
誥,kau,kau
誦,zon,zon
誦,son,son
誨,hue,hue
說,seq,seq
說,soe,se
說個,seq ku,seq kou
說大書,seq du sy,seq dou syu
說鬼話,seq ciu gho,seq ciu gho
誰,ze,ze
誰,zoe,ze
誰家,ze cia,ze cia
誰家,zoe cia,ze cia
課,khu,khou
課堂間,khu daon ke,khou daon ke
課長,khu tsan,khou tsan
誶,soe,se
誹,fi,fi
誺,le,le
誼,gni,gni
調,diau,diau
調度,diau du,diau dou
調脫了,diau theq leq,diau theq leq
諂,tshoe,tsoe
諂,tshe,tshe
諄,tsen,tsen
談,de,de
諉,ue,ue
請,tshin,tshin
請降,tshin ghaon,tshin ghaon
諍,tsan,tsen
諍,tsen,tsen
諏,tseu,tseu
諑,tsoq,tsoq
諒,lian,lian
諓,zi,zie
論,len,len
諗,sen,sen
諙,gho,gho
諛,yu,yu
諜,diq,diq
諝,siu,si
諞,bi,bie
諟,zy,zyu
諠,shioe,shioe
諡,zy,zyu
諢,wen,wen
諤,ngoq,ngoq
諦,ti,ti
諧,ya,ye
諧,gha,ye
諫,ci,cie
諭,yu,yu
諮,tsy,tsy
諱,hue,hue
諱,we,we
諲,in,in
諳,oe,oe
諴,ghe,ye
諵,noe,noe
諶,zen,zen
諷,fon,fon
諸,tsy,tsyu
諸行,tsy ghaon,tsyu ghaon
諺,yi,ye
諺,gni,gnie
諼,shioe,shioe
諽,keq,keq
諾,noq,noq
謀,meu,meu
謁,iq,iq
謂,we,we
謄,den,den
謅,tseu,tseu
謇,ci,cie
謊,huaon,huaon
謎,mi,mi
謎,me,me
謎謎子,me me tsy,me me tsy
謏,siau,siau
謐,miq,miq
謔,shiaq,shiuq
謔,shioq,shiuq
謔,shiaq,hoq
謖,soq,soq
謗,paon,paon
謙,chi,chie
謚,zy,zyu
講,kaon,kaon
講,cian,cian
講,cian,ciaon
謝,zia,zia
謞,hoq,hoq
謠,yau,yau
謨,mu,mo
謫,tsaq,tsaq
謫降,tsaq ghaon,tsaq ghaon
謬,mieu,meu
謬,miau,miau
謭,tsi,tsie
謰,li,lie
謱,leu,leu
謳,eu,eu
謹,cin,cin
謾,me,me
謿,zau,zau
譁,gho,gho
譁,hua,ho
譆,shi,shi
證,tsen,tsen
譎,cioq,ciuq
譎,ciuq,ciuq
譏,ci,ci
譓,we,we
譖,tsen,tsen
識,seq,seq
識,tsy,tsyu
譙,ziau,ziau
譚,de,de
譚,de,doe
譜,pu,phu
譜,phu,phu
譜,pu,pu
譞,shioe,shioe
譟,tshau,tshau
警,cin,cin
譫,tsoe,tsoe
譬,phi,phi
譭,hue,hue
譯,yiq,yiq
議,gni,gni
議長,gni tsan,gni tsan
譴,chi,chie
譶,daq,daeq
護,wu,ghou
譽,yu,yu
譾,tsi,tsie
讀,doq,doq
讀,deu,deu
讀差,doq tsho,doq tsho
變,pi,pie
變個,pi ku,pie kou
變大,pi du,pie dou
變死,pi si,pie sy
讋,tseq,tseq
讌,i,ie
讎,zeu,zeu
讐,zeu,zeu
讒,ze,ze
讓,gnian,zan
讓,gnian,gnian
讓伊拉,gnian yi la,zan yi la
讓伊拉,gnian yi la,zan yi la
讕,le,le
讖,tshen,tshen
讗,huaq,huaeq
讘,gniq,gniq
讚,tse,tse
讜,taon,taon
讞,gni,gni
讠,gni,gnie
计,ci,ci
订,tin,tin
讣,fu,fu
认,gnin,zen
认,zen,zen
认,gnin,gnin
讥,ci,ci
讦,ciq,ciq
讧,hon,hon
讨,thau,thau
让,gnian,zan
让,gnian,gnian
让伊拉,gnian yi la,zan yi la
让伊拉,gnian yi la,zan yi la
讪,se,se
讫,chiq,chiq
训,shion,shiun
训,shiun,shiun
议,gni,gni
议长,gni tsan,gni tsan
讯,sin,sin
记,ci,ci
讱,gnin,zen
讲,kaon,kaon
讲,cian,cian
讲,cian,ciaon
讲个,kaon gheq,kaon keq
讲只,kaon tsaq,kaon tsaq
讲讲个,kaon kaon gheq,kaon kaon keq
讳,hue,hue
讳,we,we
讴,eu,eu
讵,jiu,jiu
讶,ia,ia
讷,neq,neq
讷,naq,neq
许,shiu,shiu
许,shiu,he
讹,ngu,ngou
论,len,len
讻,shion,shion
讼,zon,zon
讼,son,son
讽,fon,fon
设,seq,seq
访,faon,faon
访日,faon zeq,faon zeq
诀,cioq,ciuq
诀,ciuq,ciuq
证,tsen,tsen
诂,ku,kou
诃,hu,hou
评,bin,bin
诅,tsu,tsou
识,seq,seq
识,tsy,tsyu
诇,shion,shion
诈,tso,tso
诈,tsa,tso
诈死诈活,tso si tso weq,tso sy tso weq
诈降,tso ghaon,tso ghaon
诉,su,sou
诊,tsen,tsen
诋,ti,ti
诌,tseu,tseu
词,zy,zy
诎,chioq,chiuq
诎,chiuq,chiuq
诏,tsau,tsau
诐,pi,pi
译,yiq,yiq
诒,yi,yi
诓,khuaon,khuaon
诔,le,le
试,sy,syu
试,seq,seq
诖,kua,ko
诗,sy,syu
诗行,sy ghaon,syu ghaon
诘,ciq,ciq
诙,hue,hue
诚,zen,zen
诛,tsy,tsyu
诜,sen,sen
话,gho,gho
话,wa,gho
诞,te,te
诟,keu,keu
诠,tshi,tshie
诡,kue,kue
询,shion,shiun
询,shiun,shiun
询,sin,sin
询,zin,zin
诣,gni,gni
诣,i,i
诣,yi,yi
诤,tsan,tsen
诤,tsen,tsen
该,ke,ke
该个,ke gheq,ke keq
详,zian,zian
诧,tsha,tsho
诧,tsho,tsho
诨,wen,wen
诩,shiu,shiu
诫,cia,cia
诬,u,ou
诬,wu,vu
语,gniu,gniu
诮,ziau,ziau
误,ngu,ngou
诰,kau,kau
诱,yeu,yeu
诱,ieu,ieu
诱降,yeu ghaon,yeu ghaon
诲,hue,hue
诳,guaon,kuaon
说,seq,seq
说,soe,se
说个,seq ku,seq keq
说大书,seq du sy,seq dou syu
说鬼话,seq ciu gho,seq ciu gho
诵,zon,zon
诵,son,son
诶,e,e
诶,ghe,ghe
诶,shi,shi
请,tshin,tshin
请降,tshin ghaon,tshin ghaon
诸,tsy,tsyu
诸行,tsy ghaon,tsyu ghaon
诹,tseu,tseu
诺,noq,noq
读,doq,doq
读,deu,deu
读个,doq gheq,doq keq
读差,doq tsho,doq tsho
诼,tsoq,tsoq
诽,fi,fi
课,khu,khou
课堂间,khu daon ke,khou daon ke
课长,khu tsan,khou tsan
诿,ue,ue
谀,yu,yu
谁,ze,ze
谁,zoe,ze
谁家,ze cia,ze cia
谁家,zoe cia,ze cia
谂,sen,sen
调,diau,diau
调度,diau du,diau dou
调脱了,diau theq leq,diau theq leq
谄,tshoe,tsoe
谄,tshe,tshe
谅,lian,lian
谆,tsen,tsen
谇,soe,se
谈,de,de
谊,gni,gni
谋,meu,meu
谌,zen,zen
谍,diq,diq
谎,huaon,huaon
谏,ci,cie
谐,ya,ye
谐,gha,ye
谑,shiaq,shiuq
谑,shioq,shiuq
谑,shiaq,hoq
谒,iq,iq
谓,we,we
谔,ngoq,ngoq
谕,yu,yu
谖,shioe,shioe
谗,ze,ze
谘,tsy,tsy
谙,oe,oe
谚,yi,ye
谚,gni,gnie
谛,ti,ti
谜,mi,mi
谜,me,me
谜谜子,me me tsy,me me tsy
谝,bi,bie
谞,siu,si
谟,mu,mo
谠,taon,taon
谡,soq,soq
谢,zia,zia
谣,yau,yau
谤,paon,paon
谥,zy,zyu
谦,chi,chie
谧,miq,miq
谨,cin,cin
谩,me,me
谪,tsaq,tsaq
谪降,tsaq ghaon,tsaq ghaon
谫,tsi,tsie
谬,mieu,meu
谬,miau,miau
谭,de,de
谭,de,doe
谮,tsen,tsen
谯,ziau,ziau
谰,le,le
谱,pu,phu
谱,phu,phu
谱,pu,pu
谲,cioq,ciuq
谲,ciuq,ciuq
谳,gni,gni
谴,chi,chie
谵,tsoe,tsoe
谶,tshen,tshen
谷,koq,koq
谼,ghon,ghon
谿,chi,chi
豀,chi,chi
豁,huaq,huaeq
豆,deu,deu
豇,kaon,kaon
豈,chi,chi
豉,zy,zyu
豌,uoe,uoe
豎,zy,zyu
豎,sy,syu
豐,fon,fon
