ch,wuu-sh
日冕,zeq mi
日军,zeq cion
日军,zeq ciun
日刊,zeq khe
日创,zeq tshaon
日利,zeq li
日前,zeq zi
日剧,zeq jiq
日創,zeq tshaon
日劇,zeq jiq
日化,zeq ho
日南,zeq noe
日历,zeq liq
日后,zeq gheu
日商,zeq saon
日嘴,zeq tsy
日圆,zeq yoe
日圓,zeq yoe
日在,zeq ze
日地,zeq di
日均,zeq cion
日均,zeq ciun
日報,zeq pau
日夕,zeq ziq
日天,zeq thi
日头旺里,gniq deu yaon li
日她,zeq tha
日子,zeq tsy
日寇,zeq kheu
日寝,zeq tshin
日寢,zeq tshin
日将,zeq tsian
日將,zeq tsian
日币,zeq bi
日常,zeq zan
日幣,zeq bi
日式,zeq seq
日後,zeq gheu
日心,zeq sin
日志,zeq tsy
日息,zeq siq
日我,zeq ngu
日或,zeq ghoq
日战,zeq tsoe
日戰,zeq tsoe
日戳,zeq tshoq
日托,zeq thoq
日报,zeq pau
日数,zeq su
日數,zeq su
日文,zeq ven
日斑,zeq pe
日新,zeq sin
日方,zeq faon
日星,zeq sin
日晒,zeq sa
日晒,zeq so
日晕,zeq yon
日晕,zeq yun
日晨,zeq zen
日晷,zeq kue
日暈,zeq yon
日暈,zeq yun
日暮,zeq mu
日曆,zeq liq
日曬,zeq sa
日曬,zeq so
日月,zeq yoq
日月,zeq yuq
日有,zeq yeu
日朝,gniq tsau
日期,zeq ji
日本,zeq pen
日杂,zeq zaq
日来,zeq le
日沒,zeq meq
日没,zeq meq
日淡,zeq de
日渐,zeq zi
日漸,zeq zi
日照,zeq tsau
日珥,zeq er
日產,zeq tshe
日用,zeq yon
日电,zeq di
日益,zeq iq
日神,zeq zen
日立,zeq liq
日經,zeq cin
日線,zeq si
日线,zeq si
日经,zeq cin
日美,zeq me
日至,zeq tsy
日臻,zeq tsen
日色,zeq seq
日落,zeq loq
日薪,zeq sin
日表,zeq piau
日見,zeq ci
日见,zeq ci
日託,zeq thoq
日記,zeq ci
日誌,zeq tsy
日語,zeq gniu
日记,zeq ci
日语,zeq gniu
日趋,zeq tshiu
日趨,zeq tshiu
日軍,zeq cion
日軍,zeq ciun
日进,zeq tsin
日進,zeq tsin
日銀,zeq gnin
日银,zeq gnin
日長夜大,gniq tsan ya du
日长夜大,gniq tsan ya du
日間,zeq ci
日间,zeq ci
日雜,zeq zaq
日電,zeq di
日面,zeq mi
日韓,zeq ghoe
日韩,zeq ghoe
日頭旺裏,gniq deu yaon li
日食,zeq zeq
日麗,zeq li
旦,te
旧,jieu
旧家,jieu cia
旨,tsy
早,tsau
早生,tsau san
旬,zhiun
旬,zin
旭,shioq
旭,shiuq
旭日,shioq zeq
旭日,shiuq zeq
旮,ka
旯,la
旰,koe
旱,ghoe
旴,shiu
旵,tshoe
时,zy
旷,khuaon
旸,yan
旺,waon
旺,yaon
旺日头,yaon gniq deu
旺日頭,yaon gniq deu
旻,min
旿,ngu
昀,yon
昀,yun
昂,ngaon
昃,tseq
昄,pe
昆,khuen
昇,sen
昈,wu
昉,faon
昊,ghau
昌,tshaon
明,min
明,men
明个,min ku
明個,min ku
明摆垃个,min pa laq gheq
明朝,men tsau
明朝,men zau
昏,huen
昒,hueq
易,yiq
易,i
易与,i yu
易于,i yu
易发,i faq
易变,i pi
易得,i teq
易怒,i nu
易懂,i ton
易於,i yu
易燃,i zoe
易爆,i bau
易用,i yon
易發,i faq
易碎,i se
易耗,i hau
易與,i yu
易讀,i doq
易變,i pi
易读,i doq
易逝,i zy
昔,siq
昕,shin
昙,de
昜,yan
昝,tsoe
星,sin
星宿,sin sieu
映,ian
映,in
映日,ian zeq
昡,yoe
昣,tsen
昤,lin
春,tshen
春日,tshen zeq
昧,me
昨,zoq
昨,zo
昨个,zoq ku
昨個,zoq ku
昪,bi
昫,shiu
昭,tsau
是,zy
是个,zy gheq
是个,zy ku
是吗,zy ma
是嗎,zy ma
是日,zy zeq
昰,diq
昰,zy
昱,yoq
昳,diq
昳,yiq
昴,mau
昵,gniq
昶,tshan
昺,pin
昼,tseu
昽,lon
显,shi
晁,zau
時,zy
晃,huaon
晃个,huaon gheq
晅,shioe
晉,tsin
晊,tseq
晋,tsin
晌,san
晏,e
晏,i
晏婴,i in
晏嬰,i in
晏子,i tsy
晏寝,i tshin
晏寢,i tshin
晏然,i zoe
晏起,i chi
晏飲,i in
晏饮,i in
晐,ke
晒,sa
晒,so
晒太阳,so tha yan
晒黑,so heq
晓,shiau
晓得个,shiau teq gheq
晓得个怀,shiau teq gheq wa
晓得呢,shiau teq ne
晔,yiq
晕,yon
晕,yun
晖,hue
晗,ghoe
晘,we
晙,tsin
晚,ue
晚,me
晚了,ue leq
晚了,ue liau
晚娘,me gnian
晚孃,me gnian
晚爷,me ya
晚爺,me ya
晛,yi
晝,tseu
晞,shi
晟,zen
晡,pu
晢,tseq
晤,ngu
晦,hue
晧,ghau
晨,zen
晪,thi
晫,tsoq
普,phu
景,cin
晰,siq
晱,soe
晳,siq
晴,zin
晶,tsin
晷,kue
晸,tsen
智,tsy
晾,lian
晾晒,lian so
晾曬,lian so
暂,ze
暄,shioe
暅,shioe
暇,shia
暈,yon
暈,yun
暉,hue
暋,min
暋,min
暌,khue
暐,we
暑,sy
暕,ke
暕,le
暖,noe
暗,oe
暗鬼,oe kue
暘,yan
暝,min
暢,tshan
暧,e
暨,ci
暫,ze
暮,mu
暮,mo
暱,gniq
暲,tsaon
暳,hue
暴,bau
暴虎冯河,bau hu bin wu
暴虎馮河,bau hu bin wu
暵,ghoe
暶,zi
暹,si
暻,cin
暾,then
暿,shi
曁,ci
曄,yiq
曆,liq
曇,de
曈,don
曉,shiau
曉得個懷,shiau teq gheq wa
曉得呢,shiau teq ne
曌,tsau
曏,shian
曔,jin
曖,e
曙,zy
曚,mon
曛,shion
曛,shiun
曜,yau
曝,bau
曝,boq
曠,khuaon
曡,deq
曡,diq
曦,shi
曨,lon
曩,naon
曬,sa
曬,so
曬太陽,so tha yan
曬黑,so heq
曰,yoq
曰,yuq
曱,khaq
曲,chioq
曲,chiuq
曳,yiq
更,ken
更,kan
更大,ken du
更班落班,kan pe loq pe
更轉落轉,kan tsoe loq tsoe
更转落转,kan tsoe loq tsoe
更飯,kan ve
更饭,kan ve
曷,gheq
書,sy
曹,zau
曼,me
曾,zen
曾,tsen
曾子,tsen tsy
曾孙,tsen sen
曾孫,tsen sen
曾祖,tsen tsu
替,thi
最,tsoe
最大,tsoe du
最貴,tsoe ciu
最贵,tsoe ciu
會,we
會,khue
會,ue
會,kue
會了,we leq
會做,ue tsu
會做,we tsu
會做人家,we tsu gnin ka
會計,khue ci
會計,kue ci
會長,we tsan
朆,ven
月,yoq
月,gnioq
月,yuq
月,gniuq
月中,gnioq tson
月中,gniuq tson
月中,yoq tson
月中,yuq tson
月亮,gnioq lian
月亮,gniuq lian
月亮,yoq lian
月亮,yuq lian
月亮光,yoq lian kuaon
月亮光,yuq lian kuaon
月亮头里,yoq lian deu li
月亮头里,yuq lian deu li
月亮底下,yoq lian ti gho
月亮底下,yuq lian ti gho
月亮頭裏,yoq lian deu li
月亮頭裏,yuq lian deu li
月半,gnioq poe
月半,gniuq poe
月半,yoq poe
月半,yuq poe
月历,gnioq liq
月历,gniuq liq
月历,yoq liq
月历,yuq liq
月大,gnioq du
月大,gniuq du
月大,yoq da
月大,yoq du
月大,yuq da
月大,yuq du
月头,gnioq deu
月头,gniuq deu
月头,yoq deu
月头,yuq deu
月季,gnioq ci
月季,gniuq ci
月季,yoq ci
月季,yuq ci
月小,gnioq siau
月小,gniuq siau
月小,yoq siau
月小,yuq siau
月度,yoq du
月度,yuq du
月曆,gnioq liq
月曆,gniuq liq
月曆,yoq liq
月曆,yuq liq
月氏,yoq tsy
月氏,yuq tsy
月洞,gnioq don
月洞,gniuq don
月洞,yoq don
月洞,yuq don
月生,gnioq san
月生,gniuq san
月生,yoq san
月生,yuq san
月白,gnioq baq
月白,gniuq baq
月白,yoq baq
月白,yuq baq
月蚀,gnioq zeq
月蚀,gniuq zeq
月蚀,yoq zeq
月蚀,yuq zeq
月蝕,gnioq zeq
月蝕,gniuq zeq
月蝕,yoq zeq
月蝕,yuq zeq
月頭,gnioq deu
月頭,gniuq deu
月頭,yoq deu
月頭,yuq deu
月餅,gnioq pin
月餅,gniuq pin
月餅,yoq pin
月餅,yuq pin
月饼,gnioq pin
月饼,gniuq pin
月饼,yoq pin
月饼,yuq pin
有,yeu
有个,yeu gheq
有个,yeu ku
有呢,yeu ne
有大,yeu du
有望,yeu waon
有朝,yeu tsau
有解释,yeu ka seq
有解釋,yeu ka seq
朊,gnioe
朋,ban
服,voq
朏,fi
朐,geu
朐,jiu
朓,thiau
朔,soq
朕,zen
朗,laon
朘,tsi
朘,tsoe
望,maon
望,waon
望你,waon ni
望到,waon tau
望而,waon er
朝,zau
朝,tsau
朝个,zau ku
朝個,zau ku
朝日,tsau gniq
朝气,tsau chi
朝氣,tsau chi
朝霞,tsau ia
朝露,tsau lu
朞,ci
期,ji
期,ci
期望,ji waon
朢,maon
朢,waon
朦,mon
朧,lon
木,moq
木知木覺,moq tsy moq koq
木知木觉,moq tsy moq koq
木而覺之,moq er koq tsy
木而觉之,moq er koq tsy
木魚,moq yu
木鱼,moq yu
未,vi
未,mi
未交,vi kau
未來,mi le
未來,vi le
未卜,vi boq
未教,vi kau
未来,mi le
未来,vi le
末,meq
末行,meq ghaon
本,pen
本吧,pen pa
本生,pen san
本科生,pen khu san
本行,pen ghaon
札,tsaq
朮,zeq
朮,tshoq
术,zeq
术,tshoq
朱,tsy
朳,paq
朴,phoq
朵,tu
朸,liq
机,ci
机长,ci tsan
朽,shieu
杀,saq
杀个,saq ku
杂,zaq
权,jioe
杄,tshi
杆,koe
杈,tsho
杈,tsha
杉,se
杋,ve
杌,ngeq
李,li
李鬼,li kue
杏,ghan
材,ze
村,tshen
村長,tshen tsan
村长,tshen tsan
杓,piau
杓,zaq
杕,di
杕,du
杖,zan
杙,yiq
杜,du
杞,chi
束,soq
杠,kaon
条,diau
来,le
来个,le gheq
来个,le ku
来死,le si
杧,maon
杨,yan
杩,mo
杪,miau
杭,ghaon
杯,pe
杰,jiq
東,ton
東曬,ton so
杲,kau
杳,yau
杵,tshy
杷,bo
杻,gnieu
杻,tsheu
杼,zy
松,son
松日,son zeq
板,pe
极,jiq
极易,jiq i
构,keu
枅,ci
枇,biq
枉,uaon
枋,faon
枍,i
析,siq
枒,o
枕,tsen
林,lin
枘,zoe
枙,eq
枚,me
果,ku
枝,tsy
枞,tson
枢,sy
枣,tsau
枥,liq
枧,ci
枨,zan
枪,tshian
枫,fon
枭,shiau
枯,khu
枰,bin
枲,si
枳,tsy
枴,kua
枵,shiau
架,ka
架,cia
枷,cia
枷,ka
枸,keu
枹,pau
柁,du
柃,lin
柄,pin
柈,boe
柊,tson
柏,paq
某,meu
某个,meu gheq
某个,meu ku
柑,koe
柒,tshiq
染,gni
染,zoe
柔,zeu
柖,zau
柘,tso
柙,ghaq
柚,yeu
柜,gue
柜,jiu
柝,thoq
柞,tsoq
柠,gnin
柢,ti
柣,diq
柣,zeq
查,zo
查,tso
查毅勇,tso gni ion
柩,jieu
柬,ci
柯,khu
柰,ne
柱,zy
柳,lieu
柴,za
柵,saq
柷,tsoq
柺,kua
柽,tshen
柿,zy
栀,tsy
栅,saq
标,piau
标识,piau tsy
栈,ze
栉,tseq
栊,lon
栋,ton
栌,lu
栎,liq
栏,le
栐,ion
树,zy
栒,sin
栓,soe
栖,tshi
栖,si
栗,liq
栘,yi
栝,kueq
栝,thi
栟,pen
栟,pin
校,yau
校,kau
校,ciau
校对,kau te
校對,kau te
校長,yau tsan
校长,yau tsan
栩,shiu
株,tsy
栲,kheq
栳,lau
栴,tsoe
样,yan
核,gheq
核,ngeq
根,ken
栻,seq
格,kaq
栽,tse
栾,loe
桀,jiq
桁,ghan
桂,kue
桃,dau
桄,khuaon
桅,we
框,khuaon
案,oe
桉,oe
桊,cioe
桌,tsoq
桎,tseq
桐,don
桑,saon
桑拿,saon na
桓,woe
桔,ciq
桕,jieu
桠,o
桡,gniau
桢,tsen
档,taon
桤,chi
桥,jiau
桦,gho
桦,wa
桧,kue
桨,tsian
桩,tsaon
桫,su
桯,thin
桯,yin
桲,beq
桴,veu
桴,vu
桶,don
桷,koq
桹,laon
桿,koe
梁,lian
梃,thin
梅,me
梆,paon
梌,du
梌,zo
梏,koq
梓,tsy
梔,tsy
梗,kan
梘,ci
梜,ciaq
條,diau
梟,shiau
梠,liu
梢,sau
梣,zen
梦,maon
梦,mon
梧,ngu
梨,li
梭,su
梯,thi
械,ye
械,cie
梱,khuen
梳,sy
梳头家生,sy deu ka san
梳頭家生,sy deu ka san
梴,tshoe
梵,ve
梼,dau
梼,tau
梼,zeu
梽,tsy
梾,le
检,ci
棁,tseq
棂,lin
棄,chi
棉,mi
棉花絮,mi ho si
棋,ji
棍,kuen
棐,fi
棒,baon
棓,baon
棓,be
棓,pheu
棕,tson
棖,zan
棗,tsau
棘,ciq
棚,ban
棟,ton
棠,daon
棡,kaon
棣,di
棤,siq
棧,ze
棨,chi
棪,yi
棫,yoq
棫,yuq
棬,chioe
棬,cioe
森,sen
棰,zoe
棱,lin
棱,len
棱台,len de
棱柱,len zy
棱臺,len de
棱角,len koq
棲,tshi
棵,khu
棹,tsoq
棹,zau
棺,kuoe
棻,fen
棼,ven
棽,tshen
椀,uoe
椁,koq
椅,i
椆,tiau
椆,tseu
椆,zeu
椋,lian
植,zeq
椎,zoe
椏,o
椐,ciu
椑,bi
椒,tsiau
椓,tsoq
椟,doq
椠,tshi
椢,kue
椤,lu
椭,thu
椰,ia
椴,doe
椶,tson
椸,yi
椹,tsen
椽,zoe
椿,tshen
楂,tso
楊,yan
楒,sy
楓,fon
楔,shiq
楗,ji
楙,meu
楚,tshu
楝,li
楞,len
楠,noe
楣,me
楦,shioe
楨,tsen
楩,bi
楪,diq
楪,yiq
楫,tsiq
業,gniq
楮,tshy
楯,den
楯,zen
極,jiq
極易,jiq i
楷,kha
楸,tshieu
楹,yin
楼,leu
榀,phin
概,ke
榃,de
榄,le
榅,ion
榅,iun
榅,uen
榆,yu
榇,tshen
榈,liu
榉,ciu
榍,siq
榑,vu
榔,laon
榕,yon
榖,koq
榛,tsen
榜,paon
榦,koe
榧,fi
榨,tsa
榨,tso
榪,mo
榫,sen
榭,zia
榮,yon
榰,tsy
榲,ion
榲,iun
榲,uen
榴,lieu
榷,chioq
榻,thaq
榿,chi
槁,kau
槃,boe
槊,soq
構,keu
槌,zoe
槍,tshian
槎,zo
槐,wa
槓,kaon
槔,kau
槚,ka
槛,khe
槛,le
槜,tsoe
槟,pin
槠,tsy
槧,tshi
槪,ke
槭,tshiq
槱,yeu
槲,ghoq
槳,tsian
槶,kue
槽,zau
槿,cin
樁,tsaon
樂,loq
樂,yaq
樂和,yaq wu
樂器,yaq chi
樂團,yaq doe
樂壇,yaq de
樂妓,yaq ji
樂工,yaq kon
樂師,yaq sy
樂府,yaq fu
樂律,yaq liq
樂感,yaq koe
樂戶,yaq wu
樂手,yaq seu
樂曲,yaq chioq
樂曲,yaq chiuq
樂歌,yaq ku
樂段,yaq doe
樂毅,yaq gni
樂池,yaq zy
樂清,yaq tshin
樂理,yaq li
樂神,yaq zen
樂章,yaq tsaon
樂聖,yaq sen
樂舞,yaq vu
樂評,yaq bin
樂調,yaq diau
樂譜,yaq pu
樂迷,yaq mi
樂隊,yaq de
樂音,yaq in
樅,tson
樊,ve
樋,thon
樑,lian
樓,leu
樗,tshy
樘,daon
標,piau
標識,piau tsy
樞,sy
樟,tsaon
模,mu
模,mo
樣,yan
樨,si
横,wan
横,uan
横对,uan te
横竖横,wan sy wan
横竖横,wan zy wan
樯,zian
樱,in
樱,an
樱桃,an dau
樵,ziau
樸,phoq
樹,zy
樺,gho
樺,wa
樽,tsen
樾,yoq
樾,yuq
橄,ke
橇,chiau
橈,gniau
橋,jiau
橐,thoq
橑,liau
橘,cioq
橘,ciuq
橙,zen
橛,jioq
橛,jiuq
橞,we
機,ci
機長,ci tsan
橡,zian
橢,thu
橤,zoe
橥,tsy
橦,don
橫,wan
橫,uan
橫對,uan te
橫豎橫,wan sy wan
橫豎橫,wan zy wan
橱,zy
橹,lu
橹,lu
橼,yoe
檀,de
檁,lin
檄,yiq
檉,tshen
檎,jin
檐,yi
檑,le
檔,taon
檗,paq
檜,kue
檞,ka
檟,ka
檠,jin
檢,ci
檣,zian
檩,lin
檫,tshaq
檬,mon
檮,dau
檮,tau
檮,zeu
檯,de
檳,pin
檵,ci
檸,gnin
檺,ghau
檻,khe
檻,le
檽,gnioe
檽,neu
櫃,gue
櫃,jiu
櫆,khue
櫍,tseq
櫓,lu
櫚,liu
櫛,tseq
櫝,doq
櫞,yoe
櫟,liq
櫥,zy
櫧,tsy
櫨,lu
櫪,liq
櫫,tsy
櫬,tshen
櫳,lon
櫸,ciu
櫺,lin
櫻,in
櫻,an
櫻桃,an dau
欂,poq
欄,le
權,jioe
欏,lu
欒,loe
欖,le
欛,pa
欛,po
欞,lin
欠,chi
次,tshy
次生,tshy san
次長,tshy tsan
次長,tshy zan
次长,tshy tsan
次长,tshy zan
欢,huoe
欣,shin
欤,yu
欧,eu
欲,yoq
欲,yuq
欲望,yoq waon
欲望,yuq waon
欷,shi
欸,e
欹,i
欺,chi
欺生,chi san
欻,shioq
欻,shiuq
欻,tsha
欽,chin
款,khuoe
款,khue
歃,saq
歅,in
歆,shin
歇,shiq
歈,yu
歉,chi
歌,ku
歎,the
歐,eu
歙,shiq
歛,hoe
歟,yu
歡,huoe
止,tsy
正,tsen
正好垃拉,tsen hau laq la
正月初一,tsen gnioq tshu iq
正月初一,tsen gniuq tshu iq
此,tshy
此行,tshy ghaon
此行,tshy yin
步,bu
步長,bu tsan
步长,bu tsan
武,wu
武行,wu ghaon
歧,ji
歪,hua
歪,ua
歲,soe
歷,liq
歸,kue
歸家,kue cia
歹,te
死,sy
死,si
死人,si gnin
死党,si taon
死党,sy taon
死得快,si teq khua
死样怪气,si yan kua chi
死樣怪氣,si yan kua chi
死水,si sy
死水,sy sy
死河浜,si wu pan
死浜,si pan
死等,si ten
死結,si ciq
死絕,si ziq
死结,si ciq
死绝,si ziq
死腔,si chian
死蟹一只,si ha iq tsaq
死蟹一隻,si ha iq tsaq
死規矩,si kue ciu
死规矩,si kue ciu
死角,si koq
死賴活纏,si la weq zoe
死赖活缠,si la weq zoe
死路,si lu
死鬼,si ciu
死鬼,sy kue
死黨,si taon
死黨,sy taon
歼,tsi
歼,tshi
歿,meq
殁,meq
殂,zu
殃,ian
殄,di
殆,de
殇,saon
殉,shion
殉,shiun
殉,sin
殊,zy
残,ze
殍,biau
殒,yon
殒,yun
殓,li
殖,zeq
殘,ze
殚,te
殛,ciq
殞,yon
殞,yun
殟,ueq
殡,pin
殣,jin
殤,saon
殨,gue
殪,i
殫,te
殭,cian
殮,li
殯,pin
殲,tsi
殲,tshi
殳,zy
殴,eu
段,doe
段長,doe tsan
段长,doe tsan
殷,in
殷望,in waon
殺,saq
殺個,saq ku
殼,khoq
殽,yau
殿,di
毀,hue
毁,hue
毂,koq
毅,gni
毆,eu
毈,doe
毋,wu
毌,kuoe
母,mu
母,m
每,me
每,me
每个,me ku
每个人,me gheq gnin
每個,me ku
每個人,me gheq gnin
每日天,me gniq thi
每行,me ghaon
毐,e
毒,doq
毓,yoq
毓,yuq
比,pi
比伊,pi i
比划,pi waq
毕,piq
毕生,piq san
毕生,piq sen
毕钿生丝,piq di sen sy
毖,pi
毗,bi
毘,bi
毙,bi
毛,mau
毡,tsoe
毪,mu
毫,ghau
毬,jieu
毯,the
毳,tshoe
毵,soe
毹,su
毻,thu
毽,ci
毿,soe
氂,mau
氅,tshan
氆,phu
氇,lu
氈,tsoe
氍,jiu
氏,zy
氏,tsy
氐,ti
民,min
氓,maon
气,chi
气死气活,chi si chi weq
气煞了,chi saq leq
氕,phiq
氖,ne
氘,tau
氙,si
氚,tshoe
氛,fen
氟,veq
氡,ton
氢,chin
氣,chi
氣死氣活,chi si chi weq
氣煞了,chi saq leq
氤,in
氦,he
氧,yan
氨,oe
氩,ia
氪,kheq
氫,chin
氬,ia
氮,de
氯,loq
氰,tshin
氲,ion
氲,iun
氳,ion
氳,iun
水,sy
水,soe
氵,sy
氷,pin
永,ion
氽,then
氾,fe
汀,thin
汁,tseq
求,jieu
求降,jieu ghaon
汆,tshoe
汇,we
汈,tiau
汉,hoe
汊,tsha
汊,tsho
汎,fe
汏,da
汏浴間,da yoq ke
汏浴間,da yuq ke
汏浴间,da yoq ke
汏浴间,da yuq ke
汐,ziq
汔,shiq
汕,se
汗,ghoe
汙,u
汛,sin
汜,zy
汝,zy
汝,lu
汞,kon
江,kaon
江,cian
池,zy
污,u
汤,thaon
汤,than
汤汤渧,than than ti
汧,chi
汨,miq
汩,kueq
汪,uaon
汫,tsin
汭,zoe
汰,tha
汰,the
汲,ciq
汴,bi
汶,ven
汶,men
汹,shion
決,cioq
決,ciuq
決斷,cioq toe
決斷,ciuq toe
汽,chi
汾,fen
沁,tshin
沂,yi
沃,oq
沄,yon
沄,yun
沅,gnioe
沆,ghaon
沇,yoe
沈,sen
沉,zen
沉默,sen meq
沌,den
沍,wu
沏,tshiq
沐,moq
沒,meq
沒救了,meq cieu leq
沓,taq
沔,mi
沕,meq
沕,miq
沖,tshon
沘,pi
沙,so
沙,sa
沙参,so sen
沚,tsy
沛,phe
沟,keu
没,meq
没个,meq gheq
没救了,meq cieu leq
沣,fon
沤,eu
沥,liq
沦,len
沧,tshaon
沨,von
沩,we
沪,wu
沫,meq
沭,zeq
沮,ziu
沮,tsiu
沮授,tsiu zeu
沮洳,tsiu zy
沰,toq
沱,du
河,wu
沸,fi
油,yeu
油爆,yeu pau
沺,di
治,zy
沼,tsau
沽,ku
沾,tsoe
沿,yi
況,huaon
況,khuaon
泂,cion
泃,ciu
泄,siq
泅,jieu
泇,ka
泉,zi
泊,phaq
泌,pi
泐,leq
泓,ghon
泔,koe
法,faq
法华寺,faq ho zy
法華寺,faq ho zy
泖,mau
泗,sy
泚,tshy
泛,fe
泜,zy
泞,gnin
泠,lin
泡,phau
波,pu
波,poq
泣,chiq
泥,gni
注,tsy
泪,li
泫,yoe
泮,phoe
泯,min
泰,tha
泱,ian
泳,ion
泵,pan
泷,lon
泸,lu
泺,loq
泺,phoq
泻,sia
泼,pheq
泽,zeq
泾,cin
洁,ciq
洄,we
洇,in
洈,we
洋,yan
洋行,yan ghaon
洌,liq
洎,ji
洏,er
洑,voq
洒,sa
洒,si
洓,seq
洓,tshiq
洗,si
洘,khau
洙,zy
洚,cian
洚,kaon
洛,loq
洞,don
洢,i
洣,mi
津,tsin
洧,we
洨,yau
洩,siq
洪,ghon
洫,shioq
洫,shiuq
洭,khuaon
洮,thau
洱,er
洲,tseu
洳,zy
洴,bin
洴,phan
洵,sin
洶,shion
洸,kuaon
洹,woe
洺,min
活,weq
活了,weq leq
洼,ua
洽,chiaq
洽,yaq
派,pha
洿,u
流,lieu
浃,tsiq
浅,tshi
浅易,tshi i
浆,tsian
浇,ciau
浈,tsen
浉,sy
浊,zoq
测,tsheq
浍,kue
浍,ue
济,tsi
浏,lieu
浐,tshe
浑,wen
浒,hu
浓,gnion
浔,zin
浕,zin
浙,tseq
浚,tsin
浚,tsiun
浛,ghoe
浜,pan
浞,tsoq
浟,diq
浟,ieu
浠,shi
浡,beq
浣,uoe
浥,iq
浦,phu
浩,ghau
浪,laon
浫,hoe
浬,li
浮,veu
浮,vu
浯,ngu
浰,li
浲,ghon
浲,von
浴,yoq
浴,yuq
浵,don
海,he
浸,tsin
浹,tsiq
浼,me
浿,phe
涂,du
涄,phin
涅,gniq
涇,cin
消,siau
消解,siau ka
消長,siau tsan
消长,siau tsan
涉,zeq
涌,ion
涍,shiau
涎,ze
涎,yi
涐,ngu
涑,soq
涓,cioe
涔,zen
涕,thi
涘,zy
涛,dau
涛,thau
涝,lau
涞,le
涟,li
涠,we
涡,u
涡,ku
涡度,u du
涢,yon
涢,yun
涣,huoe
涤,diq
润,zen
涧,ke
涧,ci
涨,tsan
涩,seq
涪,veu
涫,kuoe
涬,yin
涮,saq
涯,ya
液,yiq
涴,u
涵,ghoe
涸,ghoq
涼,lian
涿,tsoq
涿,toq
涿雨,toq yu
淀,di
淄,tsy
淅,siq
淆,shiau
淆,yau
淇,ji
淋,lin
淌,thaon
淏,ghau
淑,zoq
淒,tshi
淖,nau
淘,dau
淙,zon
淚,li
淜,ban
淜,bin
淝,vi
淞,son
淟,thi
淠,phi
淡,de
淤,iu
淦,koe
淨,zin
淩,lin
淩凙兒,lin doq ng
淪,len
淫,yin
淬,tshoe
淮,wa
淮語吧,wa gniu pa
淮语吧,wa gniu pa
淯,yoq
深,sen
深恶,sen u
深惡,sen u
深更半夜,sen kan poe ya
深更半夜,sen ken poe ya
淳,zen
淴,hoq
淴浴間,hoq yoq ke
淴浴间,hoq yoq ke
淵,ioe
淶,le
混,wen
混进去,wen tsin chiu
混進去,wen tsin chiu
淸,tshin
淹,i
淺,tshi
淺易,tshi i
添,thi
淼,miau
清,tshin
渊,ioe
渌,loq
渍,tsiq
渎,doq
渐,zi
渑,mi
渔,yu
渔家,yu cia
渖,sen
渗,sen
渙,huoe
渚,tsy
減,ke
渝,yu
渟,din
渟,thin
渠,jiu
渡,du
渢,von
渣,tso
渣,tsa
渤,beq
渥,oq
渦,u
渦,ku
渦度,u du
渧,ti
温,uen
渫,siq
測,tsheq
渭,we
港,kaon
渰,i
渱,ghon
渲,si
渳,mi
渴,kheq
渴望,kheq waon
渶,in
游,yeu
渺,miau
渼,me
渾,wen
湃,pa
湄,me
湄,mi
湉,di
湊,tsheu
湍,thoe
湎,mi
湐,paq
湑,siu
湓,ben
湔,tsi
湖,wu
湘,sian
湙,yiq
湛,ze
湛,tse
湜,zeq
湝,cia
湞,tsen
湟,waon
湣,huen
湣,min
湧,ion
湨,cioq
湨,ciuq
湫,tshieu
湫,tsiau
湮,i
湮,in
湯,thaon
湯,than
湯湯渧,than than ti
湰,lon
湲,yoe
湴,be
湽,tsy
湾,ue
湿,seq
湿,saq
溁,yin
溃,gue
溅,tsi
溆,ziu
溇,leu
溈,we
溉,ke
溍,tsin
溏,daon
源,gnioe
準,tsen
溘,kheq
溚,taq
溜,lieu
溝,keu
溞,sau
溟,min
溠,tso
溢,iq
溥,phu
溦,mi
溦,vi
溧,liq
溪,chi
溫,uen
溮,sy
溯,soq
溱,tsen
溱,zin
溲,seu
溳,yon
溳,yun
溴,shieu
溵,in
溶,yon
溷,wen
溹,soq
溺,gniq
溻,thaq
溼,seq
溼,saq
溽,gnioq
溽,zoq
滁,zy
滂,baon
滃,on
滄,tshaon
滅,miq
滆,keq
滇,di
滉,huaon
滋,tsy
滋長,tsy tsan
滋长,tsy tsan
滌,diq
滍,tsy
滎,yin
滏,vu
滑,waq
滓,tsy
滔,thau
滕,den
滗,piq
滘,kau
滚,kuen
滞,zy
滟,yi
滠,seq
满,moe
滢,in
滤,liu
滥,le
滦,loe
滧,yau
滨,pin
滩,the
滪,yu
滫,sieu
滬,wu
滮,piau
滯,zy
滲,sen
滴,tiq
滷,lu
滸,hu
滹,hu
滻,tshe
滾,kuen
滿,moe
漁,yu
漁家,yu cia
漂,phiau
漆,tshiq
漈,tsi
漉,loq
漊,leu
漍,kuaq
漏,leu
漑,ke
漓,li
演,i
演个,i ku
演個,i ku
漕,zau
漙,doe
漙,tsoe
漚,eu
漠,moq
漢,hoe
漣,li
漤,le
漦,zy
漨,bon
漨,von
漩,zi
漪,i
漫,me
漬,tsiq
漭,maon
漯,le
漯,thaq
漱,su
漲,tsan
